,report_year,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita,city,state,lat,lng,unemploymentRate
0,1975,286238.0,2383.0,30.0,181.0,1353.0,819.0,12.0,832.52,10.48,63.23,472.68,286.13,Albuquerque,NM,35.1054,-106.6465,8.475
1,1975,112478.0,278.0,5.0,28.0,132.0,113.0,12.0,247.16,4.45,24.89,117.36,100.46,Arlington,TX,32.6998,-97.125,8.475
2,1975,490584.0,8033.0,185.0,443.0,3518.0,3887.0,12.0,1637.44,37.71,90.3,717.1,792.32,Atlanta,GA,33.7628,-84.422,8.475
3,1975,116656.0,611.0,7.0,44.0,389.0,171.0,12.0,523.76,6.0,37.72,333.46,146.58,Aurora,CO,39.7083,-104.7237,8.475
4,1975,300400.0,1215.0,33.0,190.0,463.0,529.0,12.0,404.46,10.99,63.25,154.13,176.1,Austin,TX,30.3005,-97.7522,8.475
5,1975,864100.0,16086.0,259.0,463.0,6309.0,9055.0,12.0,1861.59,29.97,53.58,730.12,1047.91,Baltimore,MD,39.3051,-76.6144,8.475
6,1975,616120.0,11386.0,119.0,453.0,3036.0,7778.0,12.0,1848.02,19.31,73.52,492.76,1262.42,Boston,MA,42.3188,-71.0852,8.475
7,1975,422276.0,3350.0,63.0,192.0,755.0,2340.0,12.0,793.32,14.92,45.47,178.79,554.14,Buffalo,NY,42.9018,-78.8487,8.475
8,1975,262103.0,1937.0,68.0,71.0,976.0,822.0,12.0,739.02,25.94,27.09,372.37,313.62,Charlotte,NC,35.2083,-80.8303,8.475
9,1975,3150000.0,37160.0,818.0,1657.0,12514.0,22171.0,12.0,1179.68,25.97,52.6,397.27,703.84,Chicago,IL,41.8375,-87.6866,8.475
10,1975,433367.0,3578.0,64.0,261.0,1508.0,1745.0,12.0,825.63,14.77,60.23,347.97,402.66,Cincinnati,OH,39.1413,-84.506,8.475
11,1975,659931.0,10403.0,288.0,491.0,2524.0,7100.0,12.0,1576.38,43.64,74.4,382.46,1075.87,Cleveland,OH,41.4764,-81.6805,8.475
12,1975,572797.0,3980.0,62.0,416.0,1100.0,2402.0,12.0,694.84,10.82,72.63,192.04,419.35,Columbus,OH,39.9862,-82.9855,8.475
13,1975,864665.0,7655.0,237.0,547.0,3485.0,3386.0,12.0,885.31,27.41,63.26,403.05,391.6,Dallas,TX,32.7935,-96.7667,8.475
14,1975,508140.0,4960.0,74.0,480.0,1838.0,2568.0,12.0,976.11,14.56,94.46,361.71,505.37,Denver,CO,39.762,-104.8758,8.475
15,1975,1432444.0,30387.0,633.0,1424.0,7013.0,21317.0,12.0,2121.34,44.19,99.41,489.58,1488.16,Detroit,MI,42.3834,-83.1024,8.475
16,1975,369000.0,1618.0,21.0,122.0,635.0,840.0,12.0,438.48,5.69,33.06,172.09,227.64,El Paso,TX,31.8476,-106.43,8.475
17,1975,381275.0,1939.0,69.0,169.0,494.0,1207.0,12.0,508.56,18.1,44.32,129.57,316.57,Fort Worth,TX,32.7817,-97.3474,8.475
18,1975,176500.0,1141.0,25.0,84.0,465.0,567.0,12.0,646.46,14.16,47.59,263.46,321.25,Fresno,CA,36.783,-119.7939,8.475
19,1975,705262.0,1596.0,58.0,169.0,319.0,1050.0,12.0,226.3,8.22,23.96,45.23,148.88,Honolulu,HI,21.3294,-157.846,8.475
20,1975,1372342.0,8924.0,347.0,588.0,1567.0,6422.0,12.0,650.28,25.29,42.85,114.18,467.96,Houston,TX,29.786,-95.3885,8.475
21,1975,503411.0,4655.0,95.0,351.0,1117.0,3092.0,12.0,924.69,18.87,69.72,221.89,614.21,Indianapolis,IN,39.7771,-86.1458,8.475
22,1975,542792.0,4579.0,91.0,316.0,2445.0,1727.0,12.0,843.6,16.77,58.22,450.45,318.17,Jacksonville,FL,30.3322,-81.6749,8.475
23,1975,489094.0,6072.0,114.0,302.0,2575.0,3081.0,12.0,1241.48,23.31,61.75,526.48,629.94,Kansas City,MO,39.1238,-94.5541,8.475
24,1975,249186.0,2594.0,37.0,169.0,1043.0,1345.0,12.0,1040.99,14.85,67.82,418.56,539.76,Las Vegas,NV,36.2333,-115.2654,8.475
25,1975,340758.0,3189.0,54.0,169.0,1007.0,1959.0,12.0,935.85,15.85,49.6,295.52,574.89,Long Beach,CA,33.7977,-118.167,8.475
26,1975,2729878.0,30405.0,554.0,1768.0,13493.0,14590.0,12.0,1113.79,20.29,64.76,494.27,534.46,Los Angeles,CA,34.1141,-118.4068,8.475
27,1975,646483.0,5429.0,120.0,521.0,1805.0,2983.0,12.0,839.77,18.56,80.59,279.2,461.42,Memphis,TN,35.1087,-89.9663,8.475
28,1975,113176.0,267.0,2.0,22.0,145.0,98.0,12.0,235.92,1.77,19.44,128.12,86.59,Mesa,AZ,33.4015,-111.7178,8.475
29,1975,350742.0,6213.0,98.0,178.0,3280.0,2657.0,12.0,1771.39,27.94,50.75,935.16,757.54,Miami,FL,25.784,-80.2101,8.475
30,1975,674369.0,3204.0,70.0,146.0,1020.0,1968.0,12.0,475.11,10.38,21.65,151.25,291.83,Milwaukee,WI,43.0642,-87.9675,8.475
31,1975,405378.0,3326.0,47.0,307.0,1134.0,1838.0,12.0,820.47,11.59,75.73,279.74,453.4,Minneapolis,MN,44.9635,-93.2678,8.475
32,1975,449600.0,3158.0,93.0,110.0,952.0,2003.0,12.0,702.4,20.69,24.47,211.74,445.51,Nashville,TN,36.1715,-86.7842,8.475
33,1975,571934.0,5993.0,158.0,237.0,2002.0,3596.0,12.0,1047.85,27.63,41.44,350.04,628.74,New Orleans,LA,30.0687,-89.9288,8.475
34,1975,372663.0,7136.0,122.0,297.0,2444.0,4273.0,12.0,1914.87,32.74,79.7,655.82,1146.61,Newark,NJ,40.7245,-74.1725,8.475
35,1975,337748.0,5900.0,111.0,316.0,2288.0,3185.0,12.0,1746.86,32.86,93.56,677.43,943.01,Oakland,CA,37.7904,-122.2166,8.475
36,1975,384081.0,2666.0,61.0,249.0,1364.0,992.0,12.0,694.12,15.88,64.83,355.13,258.28,Oklahoma City,OK,35.4676,-97.5136,8.475
37,1975,391389.0,2540.0,36.0,178.0,1115.0,1211.0,12.0,648.97,9.2,45.48,284.88,309.41,Omaha,NE,41.2627,-96.0529,8.475
38,1975,118457.0,1116.0,21.0,86.0,705.0,304.0,12.0,942.11,17.73,72.6,595.15,256.63,Orlando,FL,28.4773,-81.337,8.475
39,1975,1883253.0,16332.0,435.0,716.0,4776.0,10405.0,12.0,867.22,23.1,38.02,253.6,552.5,Philadelphia,PA,40.0077,-75.1339,8.475
40,1975,668046.0,4649.0,75.0,311.0,2325.0,1938.0,12.0,695.91,11.23,46.55,348.03,290.1,Phoenix,AZ,33.5722,-112.0892,8.475
41,1975,479083.0,4967.0,63.0,237.0,1923.0,2744.0,12.0,1036.77,13.15,49.47,401.39,572.76,Pittsburgh,PA,40.4397,-79.9763,8.475
42,1975,373126.0,4076.0,48.0,287.0,1898.0,1843.0,12.0,1092.39,12.86,76.92,508.68,493.94,Portland,OR,45.5371,-122.65,8.475
43,1975,149940.0,721.0,17.0,20.0,463.0,221.0,12.0,480.86,11.34,13.34,308.79,147.39,Raleigh,NC,35.8324,-78.6429,8.475
44,1975,262994.0,2412.0,42.0,155.0,1087.0,1128.0,12.0,917.13,15.97,58.94,413.32,428.91,Sacramento,CA,38.5677,-121.4685,8.475
45,1975,180000.0,1070.0,11.0,99.0,378.0,582.0,12.0,594.44,6.11,55.0,210.0,323.33,Salt Lake City,UT,40.7776,-111.9311,8.475
46,1975,768814.0,4222.0,131.0,275.0,2086.0,1730.0,12.0,549.16,17.04,35.77,271.33,225.02,San Antonio,TX,29.4632,-98.5238,8.475
47,1975,768713.0,3859.0,64.0,229.0,1367.0,2199.0,12.0,502.01,8.33,29.79,177.83,286.06,San Diego,CA,32.8313,-117.1222,8.475
48,1975,669977.0,9137.0,138.0,547.0,2765.0,5687.0,12.0,1363.78,20.6,81.64,412.7,848.84,San Francisco,CA,37.7558,-122.4449,8.475
49,1975,549367.0,2116.0,40.0,234.0,955.0,887.0,12.0,385.17,7.28,42.59,173.84,161.46,San Jose,CA,37.3012,-121.848,8.475
50,1975,503500.0,3971.0,52.0,324.0,1492.0,2103.0,12.0,788.68,10.33,64.35,296.33,417.68,Seattle,WA,47.6211,-122.3244,8.475
51,1975,569000.0,10563.0,240.0,462.0,3573.0,6288.0,12.0,1856.41,42.18,81.2,627.94,1105.1,St. Louis,MO,38.6359,-90.2451,8.475
52,1975,291103.0,3168.0,67.0,162.0,1545.0,1394.0,12.0,1088.27,23.02,55.65,530.74,478.87,Tampa,FL,27.9945,-82.4447,8.475
53,1975,340500.0,1810.0,23.0,137.0,943.0,707.0,12.0,531.57,6.75,40.23,276.95,207.64,Tucson,AZ,32.1541,-110.8787,8.475
54,1975,347600.0,1768.0,39.0,136.0,1012.0,581.0,12.0,508.63,11.22,39.13,291.14,167.15,Tulsa,OK,36.1283,-95.9042,8.475
55,1975,217192.0,452.0,22.0,38.0,198.0,194.0,12.0,208.11,10.13,17.5,91.16,89.32,Virginia Beach,VA,36.7335,-76.0435,8.475
56,1975,716000.0,12704.0,235.0,520.0,2812.0,9137.0,12.0,1774.3,32.82,72.63,392.74,1276.12,Washington,DC,38.9047,-77.0163,8.475
57,1975,259240.0,1137.0,36.0,53.0,408.0,640.0,12.0,438.59,13.89,20.44,157.38,246.88,Wichita,KS,37.6895,-97.3443,8.475
